Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 69.0.3497.100,,2018-10-18 12:06:19,2018-10-18 12:16:33,10m - 13.718s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 69.0.3497.100,,2018-10-18 12:06:20,2018-10-18 12:06:42,21.934s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-18 12:06:20,2018-10-18 12:06:31,10.859s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 12:06:31,2018-10-18 12:06:32,1.010s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 12:06:32,2018-10-18 12:06:32,0.277s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 12:06:32,2018-10-18 12:06:32,0.235s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-18 12:06:32,2018-10-18 12:06:40,7.678s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 69.0.3497.100,,2018-10-18 12:06:40,2018-10-18 12:06:42,1.484s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 69.0.3497.100,,2018-10-18 12:06:42,2018-10-18 12:07:37,55.757s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-18 12:06:42,2018-10-18 12:06:49,7.211s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 12:06:49,2018-10-18 12:06:49,0.249s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 12:06:49,2018-10-18 12:06:50,0.246s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 12:06:50,2018-10-18 12:06:55,5.108s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-18 12:06:55,2018-10-18 12:06:57,2.482s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-18 12:06:57,2018-10-18 12:07:00,3.021s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-10-18 12:07:00,2018-10-18 12:07:00,0.048s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 12:07:00,2018-10-18 12:07:00,0.086s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-18 12:07:00,2018-10-18 12:07:02,2.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 12:07:02,2018-10-18 12:07:02,0.084s,PASSED
