Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 69.0.3497.100,,2018-10-12 14:50:59,2018-10-12 15:05:38,14m - 38.933s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 69.0.3497.100,,2018-10-12 14:50:59,2018-10-12 14:51:19,19.247s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-12 14:51:00,2018-10-12 14:51:06,6.643s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 14:51:06,2018-10-12 14:51:07,1.057s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 14:51:07,2018-10-12 14:51:08,0.287s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:08,2018-10-12 14:51:08,0.197s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 14:51:08,2018-10-12 14:51:09,1.397s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 14:51:09,2018-10-12 14:51:12,3.037s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-10-12 14:51:12,2018-10-12 14:51:12,0.133s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:12,2018-10-12 14:51:13,0.149s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 14:51:13,2018-10-12 14:51:15,2.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:15,2018-10-12 14:51:15,0.207s,PASSED
waitForAlert,Chrome 69.0.3497.100,,2018-10-12 14:51:15,2018-10-12 14:51:17,2.060s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-12 14:51:17,2018-10-12 14:51:17,0.128s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 14:51:17,2018-10-12 14:51:17,0.446s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 14:51:17,2018-10-12 14:51:18,0.313s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:18,2018-10-12 14:51:18,0.099s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-12 14:51:18,2018-10-12 14:51:18,0.109s,PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-12 14:51:18,2018-10-12 14:51:18,0.059s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 69.0.3497.100,,2018-10-12 14:51:18,2018-10-12 14:51:19,0.701s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 69.0.3497.100,,2018-10-12 14:51:19,2018-10-12 14:52:07,48.455s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-12 14:51:19,2018-10-12 14:51:24,5.584s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 14:51:25,2018-10-12 14:51:25,0.221s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 14:51:25,2018-10-12 14:51:25,0.240s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:25,2018-10-12 14:51:25,0.095s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 14:51:25,2018-10-12 14:51:26,1.394s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 14:51:26,2018-10-12 14:51:29,3.002s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-10-12 14:51:29,2018-10-12 14:51:30,0.042s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:30,2018-10-12 14:51:30,0.127s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 14:51:30,2018-10-12 14:51:32,2.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 14:51:32,2018-10-12 14:51:32,0.099s,PASSED
waitForAlert,Chrome 69.0.3497.100,,2018-10-12 14:51:32,2018-10-12 14:51:34,2.027s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-12 14:51:34,2018-10-12 14:51:34,0.053s,PASSED
