Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Presentation,Chrome 65.0.3325.181,,2018-04-10 10:53:37,2018-04-10 10:56:00,2m - 23.267s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 65.0.3325.181,,2018-04-10 10:53:38,2018-04-10 10:53:56,18.019s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 10:53:38,2018-04-10 10:53:46,8.233s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 10:53:46,2018-04-10 10:53:46,0.197s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 10:53:46,2018-04-10 10:53:46,0.206s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:53:46,2018-04-10 10:53:47,0.122s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-10 10:53:47,2018-04-10 10:53:47,0.860s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 10:53:47,2018-04-10 10:53:50,3.027s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:53:50,2018-04-10 10:53:51,0.140s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 10:53:51,2018-04-10 10:53:53,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:53:53,2018-04-10 10:53:53,0.136s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-10 10:53:53,2018-04-10 10:53:55,2.119s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-10 10:53:55,2018-04-10 10:53:55,0.083s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 10:53:55,2018-04-10 10:53:55,0.164s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 10:53:55,2018-04-10 10:53:55,0.165s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:53:55,2018-04-10 10:53:55,0.097s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 10:53:55,2018-04-10 10:53:56,0.192s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-10 10:53:56,2018-04-10 10:53:56,0.059s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 10:53:56,2018-04-10 10:53:56,0.004s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 65.0.3325.181,,2018-04-10 10:53:56,2018-04-10 10:54:26,30.161s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 10:53:56,2018-04-10 10:54:11,15.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 10:54:11,2018-04-10 10:54:11,0.166s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 10:54:11,2018-04-10 10:54:11,0.214s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:54:11,2018-04-10 10:54:11,0.155s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-10 10:54:11,2018-04-10 10:54:12,0.560s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 10:54:12,2018-04-10 10:54:15,3.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:54:15,2018-04-10 10:54:15,0.216s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 10:54:15,2018-04-10 10:54:17,2.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 10:54:17,2018-04-10 10:54:17,0.153s,PASSED
