Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 69.0.3497.100,,2018-10-19 17:08:06,2018-10-19 17:21:19,13m - 13.029s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 69.0.3497.100,,2018-10-19 17:08:07,2018-10-19 17:08:40,32.902s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-19 17:08:07,2018-10-19 17:08:23,16.497s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:08:24,2018-10-19 17:08:26,2.233s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:08:26,2018-10-19 17:08:27,0.679s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:27,2018-10-19 17:08:27,0.375s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-19 17:08:27,2018-10-19 17:08:30,2.718s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 17:08:30,2018-10-19 17:08:33,3.102s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-10-19 17:08:33,2018-10-19 17:08:33,0.094s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:33,2018-10-19 17:08:33,0.143s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 17:08:33,2018-10-19 17:08:35,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:35,2018-10-19 17:08:35,0.133s,PASSED
waitForAlert,Chrome 69.0.3497.100,,2018-10-19 17:08:35,2018-10-19 17:08:37,2.127s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-19 17:08:37,2018-10-19 17:08:37,0.086s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:08:37,2018-10-19 17:08:38,0.292s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:08:38,2018-10-19 17:08:38,0.283s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:38,2018-10-19 17:08:38,0.180s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 17:08:38,2018-10-19 17:08:38,0.225s,PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-19 17:08:38,2018-10-19 17:08:38,0.132s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 69.0.3497.100,,2018-10-19 17:08:38,2018-10-19 17:08:40,1.142s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 69.0.3497.100,,2018-10-19 17:08:40,2018-10-19 17:09:33,53.798s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-19 17:08:40,2018-10-19 17:08:48,8.683s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:08:49,2018-10-19 17:08:49,0.549s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:08:49,2018-10-19 17:08:50,0.521s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:50,2018-10-19 17:08:50,0.136s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-19 17:08:50,2018-10-19 17:08:53,3.050s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 17:08:53,2018-10-19 17:08:56,3.003s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-10-19 17:08:56,2018-10-19 17:08:56,0.072s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:56,2018-10-19 17:08:56,0.146s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 17:08:56,2018-10-19 17:08:58,2.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:08:58,2018-10-19 17:08:58,0.219s,PASSED
waitForAlert,Chrome 69.0.3497.100,,2018-10-19 17:08:58,2018-10-19 17:09:00,2.030s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-19 17:09:00,2018-10-19 17:09:00,0.062s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:09:00,2018-10-19 17:09:01,0.271s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:09:01,2018-10-19 17:09:01,0.348s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:09:01,2018-10-19 17:09:01,0.155s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), com.kms.katalon.core.testdata.TestDataFactory.findTestData(ImScanDataSource).getValue(1, 19))",Chrome 69.0.3497.100,,2018-10-19 17:09:01,2018-10-19 17:09:32,31.366s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 69.0.3497.100,,2018-10-19 17:09:33,2018-10-19 17:09:33,0.860s,PASSED
,,,,,,
Test Cases/Smoke/TC-123,Chrome 69.0.3497.100,,2018-10-19 17:09:33,2018-10-19 17:10:05,31.336s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 69.0.3497.100,,2018-10-19 17:09:33,2018-10-19 17:09:41,7.313s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:09:41,2018-10-19 17:09:41,0.343s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 17:09:41,2018-10-19 17:09:42,0.379s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:09:42,2018-10-19 17:09:42,0.218s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 17:09:42,2018-10-19 17:09:45,3.003s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-19 17:09:45,2018-10-19 17:09:45,0.217s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 17:09:45,2018-10-19 17:09:48,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 17:09:48,2018-10-19 17:09:48,0.179s,PASSED
