Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMOKE_TESTCASES,Chrome 65.0.3325.181,,2018-04-25 17:02:07,2018-04-25 17:06:19,4m - 12.207s,FAILED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 65.0.3325.181,,2018-04-25 17:02:07,2018-04-25 17:02:33,25.775s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-25 17:02:07,2018-04-25 17:02:16,9.118s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:16,2018-04-25 17:02:17,0.686s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:17,2018-04-25 17:02:17,0.259s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:17,2018-04-25 17:02:17,0.206s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-25 17:02:17,2018-04-25 17:02:19,1.359s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-25 17:02:19,2018-04-25 17:02:22,3.026s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:22,2018-04-25 17:02:22,0.128s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-25 17:02:22,2018-04-25 17:02:24,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:24,2018-04-25 17:02:24,0.117s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-25 17:02:24,2018-04-25 17:02:26,2.067s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-25 17:02:26,2018-04-25 17:02:26,0.106s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:26,2018-04-25 17:02:26,0.137s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:26,2018-04-25 17:02:27,0.143s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:27,2018-04-25 17:02:27,0.103s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), ""Nial1265"")",Chrome 65.0.3325.181,,2018-04-25 17:02:27,2018-04-25 17:02:27,0.294s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-25 17:02:27,2018-04-25 17:02:33,5.809s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-25 17:02:33,2018-04-25 17:02:33,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 65.0.3325.181,,2018-04-25 17:02:33,2018-04-25 17:02:50,17.323s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-25 17:02:33,2018-04-25 17:02:40,7.315s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:40,2018-04-25 17:02:40,0.209s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:40,2018-04-25 17:02:41,0.254s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:41,2018-04-25 17:02:41,0.115s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-25 17:02:41,2018-04-25 17:02:42,1.347s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-25 17:02:42,2018-04-25 17:02:45,3.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:45,2018-04-25 17:02:45,0.119s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-25 17:02:45,2018-04-25 17:02:47,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:47,2018-04-25 17:02:47,0.112s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-25 17:02:47,2018-04-25 17:02:49,2.042s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-25 17:02:49,2018-04-25 17:02:50,0.078s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:50,0.151s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:50,0.202s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:50,0.081s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:50,0.075s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:50,0.047s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:50,0.002s,PASSED
,,,,,,
Test Cases/Smoke/TC-18_Create_New_Role,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:03:46,55.905s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-25 17:02:50,2018-04-25 17:02:58,7.991s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:58,2018-04-25 17:02:58,0.165s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:02:58,2018-04-25 17:02:59,0.205s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:59,2018-04-25 17:02:59,0.110s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:02:59,2018-04-25 17:03:00,1.465s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:00,2018-04-25 17:03:02,2.217s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-25 17:03:02,2018-04-25 17:03:02,0.041s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-25 17:03:02,2018-04-25 17:03:03,0.646s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-25 17:03:03,2018-04-25 17:03:03,0.072s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:03:03,2018-04-25 17:03:03,0.127s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:03,2018-04-25 17:03:03,0.101s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:03,2018-04-25 17:03:04,0.101s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:04,2018-04-25 17:03:04,0.082s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-04-25 17:03:04,2018-04-25 17:03:04,0.058s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:03:04,2018-04-25 17:03:04,0.176s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-25 17:03:04,2018-04-25 17:03:14,10.486s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-25 17:03:14,2018-04-25 17:03:46,31.696s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-25 17:03:46,2018-04-25 17:03:46,0.002s,PASSED
,,,,,,
Test Cases/Smoke/TC-26,Chrome 65.0.3325.181,,2018-04-25 17:03:46,2018-04-25 17:04:30,43.763s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-25 17:03:46,2018-04-25 17:03:53,6.431s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:03:53,2018-04-25 17:03:53,0.244s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:03:53,2018-04-25 17:03:53,0.219s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:53,2018-04-25 17:03:53,0.079s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-25 17:03:53,2018-04-25 17:03:55,1.394s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-25 17:03:55,2018-04-25 17:03:58,3.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:58,2018-04-25 17:03:58,0.129s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:03:58,2018-04-25 17:04:30,32.011s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-25 17:04:30,2018-04-25 17:04:30,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-46,Chrome 65.0.3325.181,,2018-04-25 17:04:30,2018-04-25 17:04:42,12.145s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-25 17:04:30,2018-04-25 17:04:36,6.523s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:04:36,2018-04-25 17:04:37,0.242s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-25 17:04:37,2018-04-25 17:04:37,0.279s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:04:37,2018-04-25 17:04:37,0.081s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:04:37,2018-04-25 17:04:38,1.375s,PASSED
click,Chrome 65.0.3325.181,,2018-04-25 17:04:38,2018-04-25 17:04:39,0.747s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-25 17:04:39,2018-04-25 17:04:41,2.002s,PASSED
