Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Presentation,Chrome 65.0.3325.181,,2018-04-10 11:49:32,2018-04-10 11:51:58,2m - 26.269s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 65.0.3325.181,,2018-04-10 11:49:32,2018-04-10 11:49:51,18.962s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:49:32,2018-04-10 11:49:42,9.192s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:49:42,2018-04-10 11:49:42,0.223s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:49:42,2018-04-10 11:49:42,0.303s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:49:42,2018-04-10 11:49:42,0.197s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-10 11:49:42,2018-04-10 11:49:43,0.564s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:49:43,2018-04-10 11:49:46,3.022s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:49:46,2018-04-10 11:49:46,0.206s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:49:46,2018-04-10 11:49:48,2.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:49:48,2018-04-10 11:49:48,0.186s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-10 11:49:48,2018-04-10 11:49:51,2.070s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.056s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.139s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.143s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.125s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.148s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.134s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:51,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:50:13,21.899s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:49:51,2018-04-10 11:49:58,6.549s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:49:58,2018-04-10 11:49:58,0.205s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:49:58,2018-04-10 11:49:59,0.299s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:49:59,2018-04-10 11:49:59,0.155s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-10 11:49:59,2018-04-10 11:49:59,0.544s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:49:59,2018-04-10 11:50:02,3.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:02,2018-04-10 11:50:02,0.233s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:50:02,2018-04-10 11:50:04,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:04,2018-04-10 11:50:05,0.146s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-10 11:50:05,2018-04-10 11:50:07,2.031s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-10 11:50:07,2018-04-10 11:50:07,0.064s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:07,2018-04-10 11:50:07,0.184s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:07,2018-04-10 11:50:07,0.154s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:07,2018-04-10 11:50:07,0.099s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), ""Nial12"")",Chrome 65.0.3325.181,,2018-04-10 11:50:07,2018-04-10 11:50:07,0.195s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-10 11:50:07,2018-04-10 11:50:13,5.824s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:50:13,2018-04-10 11:50:13,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-143_Login_ValidLogin,Chrome 65.0.3325.181,User is able to log into the application when valid credentials are passed and be directed to Home Page,2018-04-10 11:50:13,2018-04-10 11:50:20,7.147s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:50:13,2018-04-10 11:50:19,5.991s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:19,2018-04-10 11:50:20,0.163s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:20,2018-04-10 11:50:20,0.202s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:20,2018-04-10 11:50:20,0.122s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:20,2018-04-10 11:50:20,0.494s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:50:20,2018-04-10 11:50:20,0.000s,PASSED
,,,,,,
Test Cases/Smoke/TC-145_Login_InvalidLogin,Chrome 65.0.3325.181,Verify that user is able to log into the application when invalid username is passed (Username not existing in the system),2018-04-10 11:50:20,2018-04-10 11:50:27,6.514s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:50:20,2018-04-10 11:50:26,5.868s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:26,2018-04-10 11:50:27,0.158s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:27,2018-04-10 11:50:27,0.189s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:27,2018-04-10 11:50:27,0.115s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:50:27,2018-04-10 11:50:27,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-26,Chrome 65.0.3325.181,,2018-04-10 11:50:27,2018-04-10 11:51:01,34.537s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:50:27,2018-04-10 11:50:32,5.611s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:33,2018-04-10 11:50:33,0.178s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:33,2018-04-10 11:50:33,0.184s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:33,2018-04-10 11:50:38,5.162s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-10 11:50:38,2018-04-10 11:50:39,0.879s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:50:39,2018-04-10 11:50:42,3.005s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:42,2018-04-10 11:50:43,1.130s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:43,2018-04-10 11:50:44,0.618s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-10 11:50:44,2018-04-10 11:50:49,5.076s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:50:49,2018-04-10 11:50:49,0.145s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:50:49,2018-04-10 11:50:54,5.002s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-10 11:50:54,2018-04-10 11:50:54,0.092s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:50:54,2018-04-10 11:50:54,0.060s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:54,2018-04-10 11:50:54,0.133s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:50:54,2018-04-10 11:50:57,3.003s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:50:57,2018-04-10 11:50:57,0.105s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:57,2018-04-10 11:50:58,0.136s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.073s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.111s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.086s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.131s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.074s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.259s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:58,0.166s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-10 11:50:58,2018-04-10 11:50:59,0.195s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:59,2018-04-10 11:50:59,0.182s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:59,2018-04-10 11:50:59,0.140s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-04-10 11:50:59,2018-04-10 11:50:59,0.044s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:50:59,2018-04-10 11:50:59,0.114s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:50:59,2018-04-10 11:51:01,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:01,2018-04-10 11:51:01,0.127s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:01,2018-04-10 11:51:01,0.084s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:01,2018-04-10 11:51:01,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-46,Chrome 65.0.3325.181,,2018-04-10 11:51:01,2018-04-10 11:51:20,18.295s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:01,2018-04-10 11:51:08,6.666s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:08,2018-04-10 11:51:09,0.917s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:09,2018-04-10 11:51:09,0.264s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:09,2018-04-10 11:51:10,0.595s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:10,2018-04-10 11:51:10,0.116s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:10,2018-04-10 11:51:14,3.791s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:14,2018-04-10 11:51:16,2.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:16,2018-04-10 11:51:16,0.099s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:16,2018-04-10 11:51:16,0.112s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:51:16,2018-04-10 11:51:16,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:16,2018-04-10 11:51:19,3.003s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:19,2018-04-10 11:51:19,0.246s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:19,2018-04-10 11:51:20,0.120s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:20,2018-04-10 11:51:20,0.136s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:20,2018-04-10 11:51:20,0.000s,PASSED
,,,,,,
Test Cases/Smoke/TC-86,Chrome 65.0.3325.181,,2018-04-10 11:51:20,2018-04-10 11:51:35,14.948s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:20,2018-04-10 11:51:26,6.411s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:26,2018-04-10 11:51:26,0.227s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:26,2018-04-10 11:51:27,0.242s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:27,2018-04-10 11:51:27,0.455s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:27,2018-04-10 11:51:27,0.131s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:27,2018-04-10 11:51:27,0.125s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:27,2018-04-10 11:51:31,3.211s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:51:31,2018-04-10 11:51:31,0.058s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:31,2018-04-10 11:51:34,3.002s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:34,2018-04-10 11:51:34,0.171s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:34,2018-04-10 11:51:34,0.115s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:34,2018-04-10 11:51:34,0.149s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:34,2018-04-10 11:51:34,0.129s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:34,2018-04-10 11:51:34,0.156s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:34,2018-04-10 11:51:35,0.104s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:35,2018-04-10 11:51:35,0.100s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:35,2018-04-10 11:51:35,0.002s,PASSED
,,,,,,
Test Cases/Smoke/TC-91,Chrome 65.0.3325.181,,2018-04-10 11:51:35,2018-04-10 11:51:57,22.834s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:35,2018-04-10 11:51:41,6.221s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:41,2018-04-10 11:51:41,0.147s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:41,2018-04-10 11:51:41,0.178s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:41,2018-04-10 11:51:41,0.122s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:41,2018-04-10 11:51:42,0.482s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:42,2018-04-10 11:51:42,0.199s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:42,2018-04-10 11:51:42,0.164s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:51:42,2018-04-10 11:51:42,0.061s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:42,2018-04-10 11:51:45,3.002s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:45,2018-04-10 11:51:46,0.180s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:46,0.122s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:46,0.158s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:46,0.177s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:46,0.212s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:46,0.126s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:46,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:46,2018-04-10 11:51:51,5.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:51,2018-04-10 11:51:52,0.094s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:51:52,2018-04-10 11:51:52,0.051s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:52,2018-04-10 11:51:55,3.002s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.151s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.088s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.100s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.092s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.144s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.103s,PASSED
click,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:55,0.077s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-10 11:51:55,2018-04-10 11:51:57,2.003s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-10 11:51:57,2018-04-10 11:51:57,0.082s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-10 11:51:57,2018-04-10 11:51:57,0.039s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-10 11:51:57,2018-04-10 11:51:57,0.000s,PASSED
