Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 66.0.3359.139,,2018-05-08 10:54:56,2018-05-08 11:01:32,6m - 36.619s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 66.0.3359.139,,2018-05-08 10:54:56,2018-05-08 10:55:17,21.215s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 66.0.3359.139,,2018-05-08 10:54:56,2018-05-08 10:55:05,8.578s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:05,2018-05-08 10:55:06,1.329s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:06,2018-05-08 10:55:07,0.572s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:07,2018-05-08 10:55:07,0.234s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-08 10:55:07,2018-05-08 10:55:08,1.377s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:08,2018-05-08 10:55:11,3.032s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-08 10:55:11,2018-05-08 10:55:12,0.135s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:12,2018-05-08 10:55:12,0.141s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:12,2018-05-08 10:55:14,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:14,2018-05-08 10:55:14,0.103s,PASSED
waitForAlert,Chrome 66.0.3359.139,,2018-05-08 10:55:14,2018-05-08 10:55:16,2.084s,PASSED
verifyElementVisible,Chrome 66.0.3359.139,,2018-05-08 10:55:16,2018-05-08 10:55:16,0.112s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:16,2018-05-08 10:55:16,0.209s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:16,2018-05-08 10:55:16,0.196s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:16,2018-05-08 10:55:17,0.076s,PASSED
focus,Chrome 66.0.3359.139,,2018-05-08 10:55:17,2018-05-08 10:55:17,0.093s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-08 10:55:17,2018-05-08 10:55:17,0.050s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 66.0.3359.139,,2018-05-08 10:55:17,2018-05-08 10:55:17,0.675s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 66.0.3359.139,,2018-05-08 10:55:17,2018-05-08 10:55:40,22.624s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 66.0.3359.139,,2018-05-08 10:55:17,2018-05-08 10:55:23,5.699s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:23,2018-05-08 10:55:24,0.314s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:24,2018-05-08 10:55:24,0.272s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:24,2018-05-08 10:55:24,0.094s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-08 10:55:24,2018-05-08 10:55:25,1.415s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:25,2018-05-08 10:55:28,3.002s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-08 10:55:28,2018-05-08 10:55:28,0.067s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:28,2018-05-08 10:55:29,0.088s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:29,2018-05-08 10:55:31,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:31,2018-05-08 10:55:31,0.133s,PASSED
waitForAlert,Chrome 66.0.3359.139,,2018-05-08 10:55:31,2018-05-08 10:55:33,2.042s,PASSED
verifyElementVisible,Chrome 66.0.3359.139,,2018-05-08 10:55:33,2018-05-08 10:55:33,0.050s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:33,2018-05-08 10:55:33,0.143s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:33,2018-05-08 10:55:33,0.244s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:33,2018-05-08 10:55:33,0.098s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), com.kms.katalon.core.testdata.TestDataFactory.findTestData(ImScanDataSource).getValue(1, 19))",Chrome 66.0.3359.139,,2018-05-08 10:55:33,2018-05-08 10:55:34,0.281s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-08 10:55:34,2018-05-08 10:55:39,5.793s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 66.0.3359.139,,2018-05-08 10:55:39,2018-05-08 10:55:40,0.647s,PASSED
,,,,,,
Test Cases/Smoke/TC-123,Chrome 66.0.3359.139,,2018-05-08 10:55:40,2018-05-08 10:56:09,28.908s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 66.0.3359.139,,2018-05-08 10:55:40,2018-05-08 10:55:46,6.069s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:46,2018-05-08 10:55:46,0.194s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:55:46,2018-05-08 10:55:47,0.229s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:47,2018-05-08 10:55:47,0.085s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:47,2018-05-08 10:55:50,3.003s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-08 10:55:50,2018-05-08 10:55:50,0.054s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:50,2018-05-08 10:55:53,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:55:53,2018-05-08 10:55:53,0.129s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:55:53,2018-05-08 10:56:08,15.002s,PASSED
focus,Chrome 66.0.3359.139,,2018-05-08 10:56:08,2018-05-08 10:56:08,0.087s,PASSED
uploadFile,Chrome 66.0.3359.139,,2018-05-08 10:56:08,2018-05-08 10:56:08,0.111s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:08,2018-05-08 10:56:08,0.111s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 66.0.3359.139,,2018-05-08 10:56:08,2018-05-08 10:56:09,0.651s,PASSED
,,,,,,
Test Cases/Smoke/TC-143_Login_ValidLogin,Chrome 66.0.3359.139,User is able to log into the application when valid credentials are passed and be directed to Home Page,2018-05-08 10:56:09,2018-05-08 10:56:20,10.730s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 66.0.3359.139,,2018-05-08 10:56:09,2018-05-08 10:56:17,7.786s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:56:17,2018-05-08 10:56:17,0.273s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:56:17,2018-05-08 10:56:17,0.239s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:17,2018-05-08 10:56:17,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:17,2018-05-08 10:56:19,1.512s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 66.0.3359.139,,2018-05-08 10:56:19,2018-05-08 10:56:20,0.651s,PASSED
,,,,,,
Test Cases/Smoke/TC-145_Login_InvalidLogin,Chrome 66.0.3359.139,Verify that user is able to log into the application when invalid username is passed (Username not existing in the system),2018-05-08 10:56:20,2018-05-08 10:56:28,8.626s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 66.0.3359.139,,2018-05-08 10:56:20,2018-05-08 10:56:27,7.467s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:56:27,2018-05-08 10:56:27,0.148s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:56:27,2018-05-08 10:56:28,0.191s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:28,2018-05-08 10:56:28,0.079s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 66.0.3359.139,,2018-05-08 10:56:28,2018-05-08 10:56:28,0.619s,PASSED
,,,,,,
Test Cases/Smoke/TC-164,Chrome 66.0.3359.139,,2018-05-08 10:56:28,2018-05-08 10:56:49,20.445s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 66.0.3359.139,,2018-05-08 10:56:28,2018-05-08 10:56:35,7.040s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:56:36,2018-05-08 10:56:36,0.313s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 10:56:36,2018-05-08 10:56:36,0.445s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:36,2018-05-08 10:56:36,0.129s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:56:36,2018-05-08 10:56:39,3.002s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-08 10:56:39,2018-05-08 10:56:40,0.121s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:40,2018-05-08 10:56:40,0.091s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:56:40,2018-05-08 10:56:43,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:43,2018-05-08 10:56:43,0.141s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 10:56:43,2018-05-08 10:56:44,1.203s,PASSED
focus,Chrome 66.0.3359.139,,2018-05-08 10:56:44,2018-05-08 10:56:44,0.066s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 10:56:44,2018-05-08 10:56:47,3.005s,PASSED
